id	latitude	longitude	location_name	price	bedrooms	bathrooms	size_m2	property_type	condition	year_built	distance_to_center_km	near_school	near_hospital	near_market	parking	security_rating	furnished	listing_type	agent_id	days_on_market
94	9.639479	41.869646	Melka Jebdu	2359179	4	3	77	Studio	Old	2023	6.85	No	No	No	Yes	3	Semi	Rent	110	15
95	9.600466	41.882696	Industrial Zone	3851212	2	1	163	House	New	2014	1.09	Yes	Yes	Yes	Yes	5	Semi	Sale	105	45
96	9.585946	41.856609	Industrial Zone	3898690	5	1	177	House	Good	2009	4.35	No	Yes	No	Yes	5	Furnished	Sale	105	36
97	9.638877	41.863997	Melka Jebdu	5014806	2	2	165	Studio	Good	2017	3.82	No	Yes	No	No	3	Furnished	Rent	105	50
98	9.593432	41.8455	Melka Jebdu	4653324	2	1	151	Studio	Good	2013	5.04	Yes	Yes	No	No	3	Semi	Sale	107	25
99	9.605716	41.870727	Kezira	3135371	3	1	71	Apartment	Old	2021	5.97	No	Yes	Yes	Yes	5	Furnished	Sale	110	30
100	9.59265	41.879487	Addis Ketema	6900866	3	1	172	Studio	Old	2012	3.57	Yes	Yes	Yes	Yes	2	Furnished	Sale	107	41
101	9.625802	41.87011	Sabian	1519380	3	3	56	Studio	Old	2022	6.6	Yes	No	No	No	4	Unfurnished	Rent	107	17
102	9.602182	41.868853	Industrial Zone	4239286	2	2	207	Apartment	Good	2014	2.64	Yes	No	No	No	3	Semi	Sale	100	40
103	9.600047	41.845612	Kezira	2183441	2	2	56	Apartment	Good	2016	4.92	Yes	Yes	No	Yes	4	Unfurnished	Rent	104	44
104	9.589385	41.855873	Kezira	7089129	3	2	163	House	New	2009	4.37	Yes	Yes	Yes	Yes	5	Semi	Sale	106	59
105	9.622874	41.844066	Melka Jebdu	2042964	2	3	74	House	Good	2019	1.02	Yes	Yes	No	Yes	2	Unfurnished	Sale	107	6
106	9.639472	41.844108	Kezira	7254092	1	1	182	House	New	2005	3.73	No	Yes	No	No	3	Unfurnished	Sale	101	59
107	9.599504	41.884673	Goro	5892258	1	1	197	Apartment	Old	2010	3.31	Yes	Yes	No	No	1	Semi	Rent	109	7
108	9.5947	41.842182	Addis Ketema	6026490	4	1	150	House	Old	2017	4.76	Yes	Yes	Yes	No	3	Unfurnished	Sale	103	7
109	9.611137	41.831093	Goro	5743364	3	1	169	Apartment	Old	2021	1.1	No	No	Yes	No	2	Unfurnished	Rent	107	33
110	9.631814	41.889026	Addis Ketema	4296703	4	1	115	Studio	New	2005	4.4	Yes	No	No	No	2	Unfurnished	Rent	102	57
111	9.599443	41.868015	Melka Jebdu	5200186	1	3	160	Studio	New	2005	5.04	No	No	Yes	No	2	Furnished	Sale	103	4
112	9.619181	41.850212	Sabian	4598996	3	3	137	House	Good	2021	6.62	No	Yes	Yes	Yes	5	Furnished	Sale	108	43
113	9.595212	41.881497	Kezira	8887762	4	2	209	Studio	Good	2021	5.66	No	Yes	Yes	No	3	Unfurnished	Rent	104	43
114	9.621572	41.87256	Industrial Zone	2485758	2	1	110	Apartment	Old	2014	2.25	Yes	Yes	No	Yes	5	Semi	Rent	110	3
115	9.634617	41.842007	Kezira	4275091	3	3	102	Apartment	Good	2018	3.88	Yes	Yes	Yes	No	2	Unfurnished	Sale	104	52
116	9.601102	41.849882	Addis Ketema	7059727	3	2	184	House	New	2007	2.59	Yes	Yes	No	Yes	4	Unfurnished	Sale	108	56
117	9.62105	41.857791	Melka Jebdu	6767677	2	2	220	Studio	Old	2021	1.35	Yes	Yes	No	Yes	2	Semi	Sale	109	59
118	9.594065	41.849056	Kezira	3059085	3	3	75	Studio	Old	2011	2.81	Yes	No	No	Yes	2	Unfurnished	Sale	106	36
119	9.600524	41.853413	Addis Ketema	7541944	3	2	181	Apartment	New	2012	2.77	No	Yes	Yes	Yes	1	Semi	Rent	108	23
120	9.594122	41.836117	Kezira	7993342	2	2	186	Studio	Good	2006	1.49	No	No	Yes	Yes	1	Unfurnished	Sale	104	20
121	9.612731	41.87914	Addis Ketema	8950242	3	2	219	Apartment	Old	2006	3.47	Yes	Yes	Yes	Yes	5	Furnished	Rent	109	50
122	9.591179	41.833172	Melka Jebdu	6196077	1	3	212	Apartment	Good	2021	3.62	No	Yes	No	Yes	1	Unfurnished	Sale	105	29
123	9.584891	41.835314	Industrial Zone	1351633	5	2	70	House	Good	2013	3.21	No	No	No	No	4	Unfurnished	Rent	109	37
124	9.61478	41.83588	Melka Jebdu	4212158	5	1	137	Studio	Old	2010	4.24	Yes	Yes	No	Yes	3	Unfurnished	Rent	100	60
125	9.600778	41.8882	Sabian	4172821	1	1	125	Apartment	New	2006	5.26	Yes	No	Yes	No	1	Semi	Sale	110	23
126	9.627775	41.859311	Goro	3574386	3	1	106	Apartment	Old	2008	2.94	Yes	No	Yes	Yes	2	Furnished	Sale	108	42
127	9.615665	41.830618	Goro	2465909	4	3	71	Studio	Old	2006	3.31	No	No	Yes	Yes	3	Furnished	Rent	108	32
128	9.60699	41.835613	Melka Jebdu	6227551	2	3	209	Studio	New	2014	4.14	Yes	No	No	No	5	Furnished	Rent	105	31
129	9.619947	41.832263	Industrial Zone	3572636	2	2	150	Studio	Old	2021	1.65	No	Yes	Yes	Yes	5	Furnished	Sale	103	49
130	9.590955	41.884162	Kezira	4639339	5	2	107	Studio	Old	2024	2.98	No	No	Yes	Yes	3	Semi	Sale	110	29
131	9.616691	41.866208	Melka Jebdu	6878484	1	2	211	Studio	Good	2011	2.38	Yes	Yes	Yes	No	4	Unfurnished	Sale	110	8
132	9.59742	41.845399	Industrial Zone	1914867	5	3	81	Studio	New	2008	2.94	No	No	Yes	No	5	Unfurnished	Sale	101	8
133	9.618855	41.846716	Melka Jebdu	5224919	5	3	169	House	Old	2008	3.2	No	No	No	No	3	Furnished	Rent	102	2
134	9.639638	41.84614	Addis Ketema	4918413	4	1	117	House	New	2011	5.51	No	Yes	Yes	Yes	4	Furnished	Sale	106	22
135	9.626608	41.873347	Kezira	4487242	2	3	107	Apartment	Good	2010	4.67	Yes	No	Yes	No	2	Furnished	Sale	102	58
136	9.628721	41.879462	Sabian	6317233	2	2	189	Studio	New	2017	5.85	No	Yes	Yes	Yes	2	Furnished	Sale	102	9
137	9.625648	41.879756	Goro	5323479	5	3	157	Studio	New	2011	4.16	No	Yes	Yes	Yes	4	Semi	Rent	107	57
138	9.586204	41.857933	Goro	3533071	2	2	122	Studio	New	2011	6.69	No	No	No	Yes	3	Furnished	Rent	101	25
139	9.598331	41.854362	Goro	5075735	3	2	155	Studio	Good	2016	3.73	No	Yes	Yes	Yes	2	Semi	Sale	106	53
140	9.597447	41.852077	Sabian	2767566	4	2	79	Apartment	Old	2013	5.17	No	Yes	Yes	No	2	Unfurnished	Rent	105	31
141	9.580148	41.863291	Sabian	3870168	5	3	134	Studio	Good	2008	1	Yes	No	No	Yes	3	Semi	Sale	109	40
142	9.616609	41.837299	Addis Ketema	6549898	4	2	172	Studio	New	2020	6.73	Yes	Yes	No	No	2	Unfurnished	Rent	107	57
143	9.589391	41.87406	Addis Ketema	2054142	2	3	51	House	Old	2008	2.91	No	No	Yes	No	3	Furnished	Sale	101	35
144	9.636741	41.845995	Industrial Zone	3758361	5	2	159	Studio	Good	2015	2.81	Yes	No	Yes	Yes	2	Unfurnished	Sale	106	59
145	9.598298	41.83717	Addis Ketema	4298103	3	1	114	House	Good	2019	5.37	Yes	Yes	No	No	5	Furnished	Rent	110	59
146	9.605159	41.862206	Goro	3329016	3	3	108	House	Old	2005	5.1	No	Yes	No	Yes	2	Furnished	Sale	108	10
147	9.630572	41.869022	Melka Jebdu	5154412	5	1	159	House	Old	2006	4.44	No	Yes	Yes	No	1	Semi	Sale	108	54
148	9.58078	41.842261	Industrial Zone	4281913	4	3	205	House	Good	2009	5.48	Yes	No	No	No	4	Furnished	Rent	103	8
149	9.588109	41.852412	Melka Jebdu	3824777	2	3	111	House	Old	2011	2.71	No	Yes	Yes	No	5	Furnished	Sale	106	41
150	9.603986	41.872763	Industrial Zone	4579941	1	1	194	House	Old	2017	2.07	Yes	No	Yes	No	4	Furnished	Sale	108	26
151	9.611571	41.887989	Goro	4442649	2	1	142	Studio	New	2019	5.63	Yes	Yes	No	Yes	3	Semi	Sale	104	35
152	9.5976	41.858891	Goro	6856903	4	1	207	Apartment	New	2006	2.78	Yes	Yes	Yes	No	4	Unfurnished	Sale	109	51
153	9.624638	41.872372	Goro	5573346	5	3	174	Studio	Good	2013	2.35	No	No	Yes	Yes	1	Semi	Rent	105	51
154	9.608031	41.845245	Goro	5440960	2	1	166	Studio	Old	2023	3.72	Yes	Yes	Yes	Yes	5	Semi	Sale	108	45
155	9.58753	41.851766	Industrial Zone	2913946	2	2	120	Studio	Old	2018	6.36	No	No	Yes	No	1	Semi	Rent	103	33
156	9.582603	41.881946	Kezira	2816789	4	3	76	Apartment	Good	2012	6.25	No	Yes	No	No	4	Furnished	Rent	109	11
157	9.600775	41.850707	Melka Jebdu	5978142	1	2	183	House	Old	2009	3.07	Yes	Yes	Yes	Yes	5	Semi	Rent	103	43
158	9.583655	41.851303	Sabian	1841348	1	3	66	House	Old	2010	5.81	Yes	No	No	No	1	Unfurnished	Rent	102	12
159	9.582237	41.875884	Kezira	5570574	2	3	142	House	Old	2023	6.78	No	Yes	No	Yes	1	Semi	Rent	101	23
160	9.62523	41.840314	Kezira	3544670	1	2	81	Studio	New	2019	4.45	Yes	No	Yes	Yes	1	Furnished	Rent	106	25
161	9.631839	41.856747	Melka Jebdu	2386589	2	3	73	Apartment	Old	2017	5.9	No	Yes	Yes	No	1	Unfurnished	Sale	102	34
162	9.620188	41.880637	Kezira	8341179	1	2	195	Apartment	Good	2009	1.11	No	Yes	Yes	Yes	4	Semi	Rent	110	34
163	9.597078	41.842459	Goro	7116089	4	1	211	House	Good	2016	6.36	Yes	Yes	Yes	Yes	4	Semi	Rent	107	3
164	9.587968	41.830434	Kezira	3021971	3	1	74	Studio	Old	2014	3.87	No	Yes	No	Yes	4	Semi	Sale	100	53
165	9.585697	41.84994	Kezira	4921276	2	1	126	House	Old	2005	3.9	No	Yes	No	Yes	3	Unfurnished	Sale	108	37
166	9.591638	41.875091	Industrial Zone	4370478	4	3	214	House	New	2014	5.05	No	No	No	Yes	2	Semi	Sale	107	37
167	9.582353	41.854481	Goro	3139869	1	3	92	Apartment	Old	2006	1.64	Yes	No	Yes	No	1	Furnished	Sale	108	8
168	9.588816	41.874101	Addis Ketema	6569881	2	2	164	Studio	New	2021	3.21	No	Yes	Yes	Yes	1	Furnished	Rent	105	31
169	9.603767	41.874747	Kezira	6577334	4	3	166	Apartment	Old	2009	6.03	Yes	Yes	No	No	3	Semi	Rent	109	21
170	9.611652	41.83822	Melka Jebdu	1863519	4	2	63	Apartment	New	2024	5.89	No	No	No	Yes	3	Furnished	Sale	109	13
171	9.597656	41.8714	Industrial Zone	1628934	5	1	78	Apartment	Good	2008	5.14	No	No	Yes	No	2	Furnished	Rent	102	34
172	9.589715	41.840216	Kezira	2946234	1	2	73	Studio	New	2019	1.55	No	Yes	Yes	No	1	Furnished	Sale	101	42
173	9.630017	41.832331	Industrial Zone	3893122	3	1	192	Studio	Good	2010	1.37	Yes	No	No	No	4	Furnished	Rent	105	27
174	9.626077	41.884288	Sabian	1662193	4	1	57	House	New	2019	3.56	Yes	No	No	Yes	4	Furnished	Rent	106	28
175	9.624477	41.867044	Sabian	2070367	4	1	58	Studio	Good	2009	6.85	Yes	No	Yes	No	3	Semi	Sale	102	55
176	9.607843	41.880789	Sabian	3279682	2	3	109	House	Good	2006	6.94	No	Yes	No	No	3	Semi	Rent	100	10
177	9.601353	41.85403	Kezira	5076770	4	1	127	Studio	Good	2017	3.14	Yes	No	No	Yes	1	Unfurnished	Rent	107	23
178	9.587049	41.848329	Industrial Zone	3948244	4	1	189	Apartment	Old	2015	2.31	No	Yes	No	No	2	Unfurnished	Sale	109	11
179	9.602329	41.842714	Goro	4958835	2	2	148	House	Good	2011	3.49	Yes	Yes	Yes	Yes	3	Furnished	Sale	109	22
180	9.629039	41.850279	Goro	6452308	4	2	219	Apartment	Old	2016	2.98	Yes	No	No	Yes	5	Unfurnished	Sale	106	55
181	9.610036	41.879897	Melka Jebdu	2800374	4	2	84	House	Good	2017	5.62	Yes	No	Yes	Yes	4	Semi	Sale	107	54
182	9.605279	41.888667	Sabian	4282774	2	1	139	Apartment	Good	2010	2.57	Yes	No	No	Yes	1	Unfurnished	Rent	105	57
183	9.620551	41.832309	Goro	3410487	2	3	120	House	New	2011	1.01	Yes	Yes	No	Yes	4	Semi	Sale	104	2
184	9.611807	41.867671	Sabian	5736651	3	1	178	House	Good	2022	4.21	No	No	Yes	No	5	Semi	Sale	102	42
185	9.623502	41.83595	Addis Ketema	7701426	4	2	189	Apartment	Old	2011	1.09	No	Yes	Yes	No	1	Unfurnished	Rent	109	19
186	9.612196	41.844109	Goro	3153771	4	1	92	Studio	Old	2023	3.35	No	No	Yes	No	2	Unfurnished	Sale	106	46
187	9.602536	41.836004	Addis Ketema	7624318	1	3	199	Studio	Good	2011	2.75	Yes	No	No	No	5	Semi	Rent	100	37
188	9.625913	41.867816	Goro	1696555	5	1	56	Studio	Old	2019	6.18	Yes	Yes	No	Yes	5	Semi	Rent	106	22
189	9.638356	41.859183	Industrial Zone	4376679	5	1	191	Studio	Good	2023	2.61	Yes	No	Yes	Yes	1	Unfurnished	Rent	101	49
190	9.622098	41.855823	Melka Jebdu	2861471	1	3	97	Studio	Good	2022	1.78	No	No	No	No	4	Semi	Sale	100	22
191	9.613479	41.84348	Goro	1947655	3	3	56	Studio	Old	2005	6.44	No	Yes	Yes	No	3	Semi	Rent	101	38
192	9.621866	41.83675	Addis Ketema	4035327	2	3	111	Studio	New	2011	3.41	No	No	No	No	3	Unfurnished	Sale	109	2
193	9.610911	41.886599	Addis Ketema	5003859	2	2	119	Studio	Good	2010	3.33	Yes	Yes	Yes	No	2	Furnished	Rent	105	3
194	9.626527	41.869059	Melka Jebdu	3246569	5	2	104	Studio	Old	2007	5.02	Yes	Yes	No	Yes	3	Unfurnished	Rent	103	51
195	9.625777	41.883865	Industrial Zone	2651275	1	2	131	House	Old	2006	2.72	No	No	No	No	2	Unfurnished	Rent	109	54
196	9.615133	41.874471	Addis Ketema	2249632	5	1	53	House	New	2024	1.21	No	Yes	Yes	Yes	4	Unfurnished	Sale	102	11
197	9.589132	41.887464	Melka Jebdu	2651940	3	2	77	Apartment	New	2006	2.06	Yes	No	Yes	No	3	Furnished	Sale	106	3
198	9.60143	41.853578	Industrial Zone	4479612	2	2	211	Studio	New	2017	2.99	Yes	Yes	No	No	3	Unfurnished	Sale	110	45
